날짜,요일,역번호,역명,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,24~
2020-01-01,2,213,구의(광진구청),하차,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,214,강변(동서울터미널),승차,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,214,강변(동서울터미널),하차,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,215,잠실나루,승차,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,215,잠실나루,하차,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,216,잠실(송파구청),승차,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,216,잠실(송파구청),하차,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,217,잠실새내,승차,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,217,잠실새내,하차,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,218,종합운동장,승차,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,218,종합운동장,하차,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2020-01-01,2,219,삼성(무역센터),승차,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,219,삼성(무역센터),하차,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
2020-01-01,2,220,선릉,승차,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,220,선릉,하차,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
2020-01-01,2,221,역삼,승차,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,221,역삼,하차,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,222,강남,승차,1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-01-01,2,222,강남,하차,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-01-01,2,223,교대(법원.검찰청),승차,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
